Disease,Symptoms,Remedies,How to Apply Remedies
Cold,"Runny nose, sneezing, congestion, sore throat",  Peppermint: Eases nasal congestion and relieves symptoms.  Honey: Soothes the throat and reduces cough. , Peppermint: Inhale steam from peppermint oil or drink peppermint tea.  Honey: Take a spoonful of honey before bed.
"Indigestion			","Bloating, gas, discomfort after eating", Ajwain (Carom Seeds): Aids digestion and reduces bloating.  Fennel Seeds: Helps relieve indigestion. , Ajwain: Chew a teaspoon of seeds after meals.  Fennel Seeds: Drink fennel tea or chew seeds.
Acidity,"Burning sensation in the chest, acidity, sour taste in mouth", Aloe Vera Juice: Soothes the digestive tract and reduces acidity.  Licorice Root: Helps in healing the stomach lining. , Aloe Vera Juice: Drink 1/4 cup before meals.  Licorice Root: Consume 500 mg of extract daily.  
Constipation,"Difficulty in passing stool, constipation, bloating", Triphala: Promotes bowel regularity and relieves constipation.  Psyllium Husk: Improves stool consistency. , Triphala: Take 1 teaspoon before bedtime with water.  Psyllium Husk: Mix 1-2 teaspoons in water daily. 
Joint Pain,"Pain, swelling, and stiffness in joints", Turmeric: Reduces inflammation and pain.  Ginger: Eases joint pain and inflammation. , Turmeric: Add to meals or take as a supplement.  Ginger: Drink ginger tea or apply ginger paste topically.  
Skin Rash,"Redness, itching, inflammation on the skin, rash", Aloe Vera Gel: Soothes and heals skin rashes.  Neem: Antibacterial properties help in treating skin issues.  , Aloe Vera Gel: Apply directly to affected areas.  Neem: Use neem oil or paste on rashes.  
Hair Loss,"Thinning hair, excessive hair fall", Amla (Indian Gooseberry): Strengthens hair and promotes growth.  Bhringraj: Enhances hair health and prevents hair loss. , Amla: Apply amla oil to scalp or consume amla juice.  Bhringraj: Use bhringraj oil or powder on hair and scalp.  
Sore Throat,"Pain or scratchiness in the throat, difficulty swallowing", Honey and Lemon: Soothes the throat and reduces inflammation.  Gargling with Salt Water: Provides relief from throat pain. , Honey and Lemon: Mix honey and lemon juice in warm water and drink.  Salt Water Gargle: Gargle with warm salt water several times a day.  
Diabetes,"Elevated blood sugar levels, increased thirst and urination", Bitter Gourd (Karela): Helps lower blood sugar levels.  Fenugreek: Improves glucose tolerance and insulin sensitivity. , Bitter Gourd: Consume juice or add to meals.  Fenugreek: Take 500 mg of powder daily or use in cooking. 
Back Pain,Pain or discomfort in the lower back, Turmeric: Reduces inflammation and relieves pain.  Ashwagandha: Strengthens muscles and supports back health. , Turmeric: Add to food or take as a supplement.  Ashwagandha: Take 500 mg twice daily with meals. 
Allergies,"Sneezing, itching, runny nose, rashes", Neem: Has antihistamine properties and helps with allergic reactions.  Turmeric: Reduces inflammation and allergic responses. , Neem: Use neem leaf extract or oil as a remedy.  Turmeric: Add to food or take as a supplement.  
Menstrual Cramps,"Abdominal pain, bloating, mood swings", Shatavari: Relieves menstrual cramps and supports reproductive health.  Ginger: Reduces pain and discomfort. , Shatavari: Take 500 mg twice daily.  Ginger: Drink ginger tea or consume fresh ginger during menstrual periods. 
Weight Loss,"Unintended weight loss, low appetite, weakness", Triphala: Supports digestion and metabolism.  Ginger: Stimulates appetite and improves digestion. , Triphala: Take 1 teaspoon before bedtime with water.  Ginger: Drink ginger tea or add to meals. 
Hi i am 'AyurMind Bot' how can i help you?,Hi,Hi i am 'AyurMind Bot' how can i help you?,Hi i am 'AyurMind Bot' how can i help you?
i am 'AyurMind  Bot' and can assist you in ayurvedic remedies,Hello,i am 'AyurMind  Bot' and can assist you in ayurvedic remedies,i am 'AyurMind  Bot' and can assist you in ayurvedic remedies
i am ai chat bot doing fine,What are you doing?,i am ai chat bot doing fine,i am ai chat bot doing fine
"Welcome, happy to help you.",Thanks,"Welcome, happy to help you.","Welcome, happy to help you."
You're welcome,Welcome,You're welcome,You're welcome
"AyurMind is always at your service, Ma'am/Sir!!!!!!",Thank you,"AyurMind is always at your service, Ma'am/Sir!!!!!!","AyurMind is always at your service, Ma'am/Sir!!!!!!"
